"id","gen","sp","ssp","en","lat","lng","file","q","rec_length","species"
"231910","Tympanuchus","pallidicinctus","","Lesser Prairie Chicken",37.0846,-102.4963,"//www.xeno-canto.org/231910/download","A",23,"Tympanuchus pallidicinctus"
"100769","Tympanuchus","pallidicinctus","","Lesser Prairie Chicken",37.9559,-102.3945,"//www.xeno-canto.org/100769/download","A",13,"Tympanuchus pallidicinctus"
"100768","Tympanuchus","pallidicinctus","","Lesser Prairie Chicken",37.9559,-102.3945,"//www.xeno-canto.org/100768/download","A",65,"Tympanuchus pallidicinctus"
"33963","Tympanuchus","pallidicinctus","","Lesser Prairie Chicken",37.956109,-102.39463,"//www.xeno-canto.org/33963/download","A",35,"Tympanuchus pallidicinctus"
"33962","Tympanuchus","pallidicinctus","","Lesser Prairie Chicken",37.956109,-102.39463,"//www.xeno-canto.org/33962/download","A",77,"Tympanuchus pallidicinctus"
"33961","Tympanuchus","pallidicinctus","","Lesser Prairie Chicken",37.956109,-102.39463,"//www.xeno-canto.org/33961/download","A",11,"Tympanuchus pallidicinctus"
"33960","Tympanuchus","pallidicinctus","","Lesser Prairie Chicken",37.956109,-102.39463,"//www.xeno-canto.org/33960/download","A",59,"Tympanuchus pallidicinctus"
"33959","Tympanuchus","pallidicinctus","","Lesser Prairie Chicken",37.956109,-102.39463,"//www.xeno-canto.org/33959/download","A",50,"Tympanuchus pallidicinctus"
"432491","Rallus","elegans","elegans","King Rail",30.415,-91.179,"//www.xeno-canto.org/432491/download","A",44,"Rallus elegans"
"383661","Rallus","elegans","","King Rail",29.7464,-93.9368,"//www.xeno-canto.org/383661/download","A",63,"Rallus elegans"
"383659","Rallus","elegans","","King Rail",29.7464,-93.9368,"//www.xeno-canto.org/383659/download","A",21,"Rallus elegans"
"383633","Rallus","elegans","","King Rail",38.1601,-98.4913,"//www.xeno-canto.org/383633/download","A",54,"Rallus elegans"
"368533","Rallus","elegans","","King Rail",29.951,-93.079,"//www.xeno-canto.org/368533/download","A",10,"Rallus elegans"
"107614","Rallus","elegans","","King Rail",33.734,-94.648,"//www.xeno-canto.org/107614/download","A",24,"Rallus elegans"
"81286","Rallus","elegans","","King Rail",29.951,-93.079,"//www.xeno-canto.org/81286/download","A",22,"Rallus elegans"
"81282","Rallus","elegans","","King Rail",29.771,-93.131,"//www.xeno-canto.org/81282/download","A",7,"Rallus elegans"
"81281","Rallus","elegans","","King Rail",29.771,-93.131,"//www.xeno-canto.org/81281/download","A",51,"Rallus elegans"
"81280","Rallus","elegans","","King Rail",29.771,-93.131,"//www.xeno-canto.org/81280/download","A",10,"Rallus elegans"
"24757","Rallus","elegans","","King Rail",29.592565,-94.478302,"//www.xeno-canto.org/24757/download","A",36,"Rallus elegans"
